f1_name,f2_name,market_prob_f1,gen_prob_f1,ud_prob_f1,blended_prob_f1,blended_edge,target,price_f1
Bogdan Grad,Muhammad Naimov,0.3278688524590163,0.7452756017446518,0.4844839,0.5757609851658344,0.2478921327068181,0,205
Seokhyeon Ko,Oban Elliott,0.2127659574468085,0.3789697885513305,0.7269727,0.6051716685295104,0.39240571108270195,1,370
Daria Zhelezniakova,Melissa Mullins,0.3278688524590163,0.5120683163404465,0.69828284,0.6331077374517917,0.3052388849927754,1,205
Klaudia Sygula,Irina Alekseeva,0.3333333333333333,0.2732687443494797,0.4555949,0.3917807377874851,0.05844740445415181,1,200
Azat Maksum,Tagir Ulanbekov,0.2061855670103092,0.314875990152359,0.2170883,0.2513139918446541,0.04512842483434487,0,385
Kamaru Usman,Joaquin Buckley,0.352112676056338,0.3638151288032532,0.72272635,0.597107395529747,0.244994719473409,1,184
Miranda Maverick,Rose Namajunas,0.3333333333333333,0.7184361517429352,0.42463112,0.5274628683924675,0.19412953505913416,0,200
Cody Garbrandt,Raoni Barcelos,0.3225806451612903,0.348190113902092,0.20945066,0.25800946429371835,-0.06457118086757196,0,210
Alonzo Menifield,Oumar Sy,0.1694915254237288,0.1976527124643325,0.694669,0.5207132868468761,0.3512217614231473,1,490
Court McGee,Michael Chiesa,0.2702702702702703,0.4706452935934067,0.3499261,0.3921778179705143,0.12190754770024403,0,270
Kris Moutinho,Malcolm Wellmaker,0.0925925925925925,0.1391128823161125,0.39153713,0.3031886462122202,0.2105960536196277,0,980
Cody Durden,Jose Ochoa,0.3676470588235294,0.5044691264629364,0.2745563,0.3550257906317711,-0.012621268191758295,0,172
Cameron Smotherman,Ricky Simon,0.2439024390243902,0.4617591649293899,0.3481406,0.3879070810973644,0.14400464207297417,0,310
Sean O'Malley,Merab Dvalishvili,0.3278688524590163,0.3677801936864853,0.5280848,0.4719781704246998,0.1441093179656835,0,205
Julianna Pena,Kayla Harrison,0.1666666666666666,0.2109807208180427,0.11444402,0.1482318606227636,-0.01843480604390299,0,500
Kelvin Gastelum,Joe Pyfer,0.2439024390243902,0.4000925868749618,0.24711572,0.3006576098501682,0.056755170825777995,0,310
Vicente Luque,Kevin Holland,0.3968253968253968,0.3819920718669891,0.47988233,0.4456207290291786,0.048795332203781794,0,152
Bruno Silva,Joshua Van,0.1612903225806451,0.2425074204802513,0.14105092,0.17656069435179234,0.015270371771147234,0,520
Brendson Ribeiro,Azamat Murzakanov,0.1785714285714285,0.4186581075191498,0.30010232,0.3415968343615532,0.1630254057901247,0,460
Andreas Gustafsson,Khaos Williams,0.3875968992248062,0.4093430638313293,0.7474434,0.6291082471609115,0.2415113479361053,1,158
Ariane da Silva,Wang Cong,0.1785714285714285,0.477845549583435,0.2682863,0.34163202643394464,0.16306059786251614,0,460
